name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Funky 3br flat in trendy location!,New Town East and Gayfield,Apartment,Entire home/apt,5,1.5,3,5,100,97
"Central dble, kitchen, free parking",Hillside and Calton Hill,Apartment,Private room,2,1,1,1,27,98
2 Bedroom 1 Bathroom Apartment on the Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,1,5,435,100
"2 Bedroom 1 Bath Apartment,Blair Street Royal Mile","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,2,4,315,96
"1 Bedroom 1 Bathroom - Upper Bow, Royal Mile","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,200,100
"1 Bedroom 1 Bathroom Apt Tron Square, Royal Mile","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,229,100
Luxurious 1 Bedroom Apartment on the Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,229,94
"1 BR Luxury on Blair Street, Royal Mile,","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,190,90
1 Bedroom 1 Bathroom Apt on the Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,229,100
4 Bedroom 3 Bath Royal Mile Apart for 10 guests!,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,10,3,4,10,515,98
"4 Bedroom 3 Bathroom Apt, Royal Mile for 12 guests","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,12,3,4,12,599,96
"4 bedroom 4 Bathroom apt, Royal Mile for 20 guests","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,16,4,4,20,880,94
3 Bed 2 Bathroom Apartment -sleeps 6 on Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,2.5,3,6,245,92
Ocean's 2 Bedroom Apartment,Western Harbour and Leith Docks,Serviced apartment,Entire home/apt,4,2,2,4,200,91
Spacious Double Room in Central Edinburgh,Broughton South,Apartment,Private room,2,1,1,1,35,97
Hopetoun City Apartment -  FREE PARKING,New Town East and Gayfield,Apartment,Entire home/apt,8,2,3,8,150,97
"VINTAGE apt,pvt GARDEN,wifiNEW TOWN",Broughton North and Powderhall,Apartment,Entire home/apt,2,1,1,1,99,90
Bright and Spacious New Town Apartment,New Town East and Gayfield,Apartment,Entire home/apt,4,1,1,2,160,98
Little Flat near Shore,Great Junction Street,Apartment,Entire home/apt,4,1,1,2,80,92
Beautiful Little Home in Edinburgh,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,2,1,1,1,45,100
Double bedroom in quiet flat close to city centre,Marchmont West,Apartment,Private room,2,1,1,1,40,97
Edinburgh Flat with 2 double bedrooms,Morningside,Apartment,Entire home/apt,4,1,2,2,130,92
"City Centre Apartment , 1 bedroom",Tollcross,Apartment,Entire home/apt,2,1,1,1,65,97
"Bright, spacious Victorian flat,",Morningside,Apartment,Entire home/apt,8,1.5,4,4,159,97
"Charming, central flat with gorgeous views",Meadows and Southside,Condominium,Private room,2,1,1,1,35,96
Grassmarket No1 with Amazing Views,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,70,96
"Grassmarket No.2 next to Castle, amazing views","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,80,96
Grassmarket Studio in City Center,Tollcross,Apartment,Entire home/apt,2,1,1,1,70,94
Royal Mile Apartment in Old Town,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,3,90,91
"Friendly, fabulous Stockbridge B&B",New Town West,Bed and breakfast,Private room,2,1,1,2,80,97
"Central, comfy 2bed flat, parking","Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,2,100,95
"Luxury, City Centre, Free Wifi - M",Dalry and Fountainbridge,Apartment,Entire home/apt,6,2,2,5,300,95
"Luxury, City Centre, Free Wifi - B",Dalry and Fountainbridge,Apartment,Entire home/apt,6,2,2,6,300,84
"Luxury, City Centre, Free Wifi - J",Dalry and Fountainbridge,Apartment,Entire home/apt,6,2,2,5,150,91
"Luxury, City Centre, Free Wifi - G",Broughton South,Apartment,Entire home/apt,9,2,3,7,300,87
"CENTRAL, BEAUTIFUL, ARTISTS FLAT","Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,2,1,1,1,85,90
Beatifully decorated clean 1bdrm ap,Great Junction Street,Apartment,Entire home/apt,3,1,1,1,50,98
"Fab Festival Flat,under the castle,","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,220,94
"Double room, en-suite, free parking.",Broughton North and Powderhall,Apartment,Private room,2,1,1,1,55,99
Stylish Central 2 Bedroom Apartment,Stockbridge,Apartment,Entire home/apt,4,1,2,2,80,97
LUXURY City Centre large DBL Room,Deans Village,Apartment,Private room,3,0,1,2,65,97
Smart Apartment by Edinburgh Castle,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,2,75,97
Bright Contemporary Apartment,Hillside and Calton Hill,Apartment,Entire home/apt,6,1,2,4,90,95
"B&B Boutique ""Rooms"" in Townhouse",South Leith,Townhouse,Private room,4,1,2,2,54,99
Spacious Twin Room in v. good area.,"Blackford, West Mains and Mayfield Road",House,Private room,2,1.5,1,2,46,96
Twin Room in Comfy Family Home,Siverknowes and Davidson's Mains,House,Private room,2,1,1,2,60,96
Ocean's Family Apartment,Western Harbour and Leith Docks,Serviced apartment,Entire home/apt,5,2,2,5,200,90
2 Bedroom Apartment (5 persons) with FREE Parking,Western Harbour and Leith Docks,Serviced apartment,Entire home/apt,5,2,2,5,300,91
2 Bedroom Apartment (4 persons) with FREE parking,Western Harbour and Leith Docks,Serviced apartment,Entire home/apt,4,2,2,4,250,93
A charming Edinburgh colony home,Stockbridge,Apartment,Private room,1,1,1,1,38,93
A small room in a friendly house,Stockbridge,Apartment,Private room,1,1,1,1,35,93
Edinburgh Festival Let with Ensuite,Meadowbank and Abbeyhill North,Apartment,Private room,2,1,1,1,50,95
Stunning 2 Bedroom Apartment by the Meadows,Marchmont East and Sciennes,Apartment,Entire home/apt,6,1.5,2,2,79,91
Central Garden Flat + Car Parking,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,1,3,75,98
Luxury mews in central Edinburgh,Deans Village,House,Entire home/apt,2,1.5,1,1,70,99
Modern Central Holiday Apartment,Pilrig,Apartment,Entire home/apt,6,1,2,2,75,88
"Edinburgh Festival - double room, private bathroom",Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,50,95
Newington area Apartment for large group,Prestonfield,Apartment,Entire home/apt,10,1,3,7,146,91
"Central 2 bed 2 bath with wifi, lift & parking",Meadowbank and Abbeyhill North,Apartment,Entire home/apt,6,2,2,3,65,94
2 Bedroom Apt Cockburn St OLD TOWN,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,3,70,90
